 INFO  Accepting connections at http://localhost:8765
 HTTP  4/27/2026 9:42:10 PM ::1 GET /src/store/local-store.js
 HTTP  4/27/2026 9:42:10 PM ::1 GET /data.js
 HTTP  4/27/2026 9:42:10 PM ::1 GET /app.js
 HTTP  4/27/2026 9:42:10 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:42:10 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:42:10 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:10 PM ::1 GET /tailwind-out.css
 HTTP  4/27/2026 9:42:10 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:10 PM ::1 GET /styles.css
 HTTP  4/27/2026 9:42:10 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:42:10 PM ::1 GET /sw-cleanup.js
 HTTP  4/27/2026 9:42:10 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:42:10 PM ::1 GET /src/modules/catalog/ingredients.js
 HTTP  4/27/2026 9:42:10 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:10 PM ::1 GET /src/modules/recipes/recipes.js
 HTTP  4/27/2026 9:42:10 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:10 PM ::1 GET /src/modules/log/day-log.js
 HTTP  4/27/2026 9:42:10 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:10 PM ::1 GET /src/modules/log/gap-engine.js
 HTTP  4/27/2026 9:42:10 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:11 PM ::1 GET /src/modules/carryover/carryover-engine.js
 HTTP  4/27/2026 9:42:11 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:11 PM ::1 GET /src/modules/history/day-history.js
 HTTP  4/27/2026 9:42:11 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:11 PM ::1 GET /src/modules/insights/insights-engine.js
 HTTP  4/27/2026 9:42:11 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:11 PM ::1 GET /src/modules/observability/tracer.js
 HTTP  4/27/2026 9:42:11 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:42:11 PM ::1 GET /src/store/supabase-config.js
 HTTP  4/27/2026 9:42:11 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:12 PM ::1 GET /src/modules/identity/auth.js
 HTTP  4/27/2026 9:42:12 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:12 PM ::1 GET /src/store/remote-store.js
 HTTP  4/27/2026 9:42:12 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:34 PM ::1 GET /
 HTTP  4/27/2026 9:42:34 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:42:34 PM ::1 GET /src/store/local-store.js
 HTTP  4/27/2026 9:42:34 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:34 PM ::1 GET /tailwind-out.css
 HTTP  4/27/2026 9:42:34 PM ::1 GET /data.js
 HTTP  4/27/2026 9:42:34 PM ::1 GET /app.js
 HTTP  4/27/2026 9:42:34 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:34 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:34 PM ::1 GET /styles.css
 HTTP  4/27/2026 9:42:34 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:34 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:42:34 PM ::1 GET /sw-cleanup.js
 HTTP  4/27/2026 9:42:34 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:34 PM ::1 GET /src/modules/catalog/ingredients.js
 HTTP  4/27/2026 9:42:34 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:42:34 PM ::1 GET /src/modules/recipes/recipes.js
 HTTP  4/27/2026 9:42:34 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:35 PM ::1 GET /src/modules/log/day-log.js
 HTTP  4/27/2026 9:42:35 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:35 PM ::1 GET /src/modules/log/gap-engine.js
 HTTP  4/27/2026 9:42:35 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:35 PM ::1 GET /src/modules/carryover/carryover-engine.js
 HTTP  4/27/2026 9:42:35 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:35 PM ::1 GET /src/modules/history/day-history.js
 HTTP  4/27/2026 9:42:35 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:42:35 PM ::1 GET /src/modules/insights/insights-engine.js
 HTTP  4/27/2026 9:42:35 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:35 PM ::1 GET /src/modules/observability/tracer.js
 HTTP  4/27/2026 9:42:35 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:36 PM ::1 GET /src/store/supabase-config.js
 HTTP  4/27/2026 9:42:36 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:37 PM ::1 GET /src/modules/identity/auth.js
 HTTP  4/27/2026 9:42:37 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:37 PM ::1 GET /src/store/remote-store.js
 HTTP  4/27/2026 9:42:37 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:42:59 PM ::1 GET /
 HTTP  4/27/2026 9:42:59 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:42:59 PM ::1 GET /src/store/local-store.js
 HTTP  4/27/2026 9:42:59 PM ::1 GET /data.js
 HTTP  4/27/2026 9:42:59 PM ::1 GET /app.js
 HTTP  4/27/2026 9:42:59 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:42:59 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:59 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:42:59 PM ::1 GET /tailwind-out.css
 HTTP  4/27/2026 9:42:59 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:59 PM ::1 GET /styles.css
 HTTP  4/27/2026 9:42:59 PM ::1 GET /sw-cleanup.js
 HTTP  4/27/2026 9:42:59 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:42:59 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:42:59 PM ::1 GET /src/modules/catalog/ingredients.js
 HTTP  4/27/2026 9:42:59 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:43:00 PM ::1 GET /src/modules/recipes/recipes.js
 HTTP  4/27/2026 9:43:00 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:00 PM ::1 GET /src/modules/log/day-log.js
 HTTP  4/27/2026 9:43:00 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:00 PM ::1 GET /src/modules/log/gap-engine.js
 HTTP  4/27/2026 9:43:00 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:43:00 PM ::1 GET /src/modules/carryover/carryover-engine.js
 HTTP  4/27/2026 9:43:00 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:43:00 PM ::1 GET /src/modules/history/day-history.js
 HTTP  4/27/2026 9:43:00 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:00 PM ::1 GET /src/modules/insights/insights-engine.js
 HTTP  4/27/2026 9:43:00 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:01 PM ::1 GET /src/modules/observability/tracer.js
 HTTP  4/27/2026 9:43:01 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:01 PM ::1 GET /src/store/supabase-config.js
 HTTP  4/27/2026 9:43:01 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:01 PM ::1 GET /src/modules/identity/auth.js
 HTTP  4/27/2026 9:43:01 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:02 PM ::1 GET /src/store/remote-store.js
 HTTP  4/27/2026 9:43:02 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:23 PM ::1 GET /
 HTTP  4/27/2026 9:43:23 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:23 PM ::1 GET /src/store/local-store.js
 HTTP  4/27/2026 9:43:23 PM ::1 GET /data.js
 HTTP  4/27/2026 9:43:23 PM ::1 GET /app.js
 HTTP  4/27/2026 9:43:23 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:23 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:23 PM ::1 GET /tailwind-out.css
 HTTP  4/27/2026 9:43:23 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:23 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:43:23 PM ::1 GET /styles.css
 HTTP  4/27/2026 9:43:23 PM ::1 GET /sw-cleanup.js
 HTTP  4/27/2026 9:43:23 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:43:23 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:24 PM ::1 GET /src/modules/catalog/ingredients.js
 HTTP  4/27/2026 9:43:24 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:43:24 PM ::1 GET /src/modules/recipes/recipes.js
 HTTP  4/27/2026 9:43:24 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:24 PM ::1 GET /src/modules/log/day-log.js
 HTTP  4/27/2026 9:43:24 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:24 PM ::1 GET /src/modules/log/gap-engine.js
 HTTP  4/27/2026 9:43:24 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:24 PM ::1 GET /src/modules/carryover/carryover-engine.js
 HTTP  4/27/2026 9:43:24 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:25 PM ::1 GET /src/modules/history/day-history.js
 HTTP  4/27/2026 9:43:25 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:43:25 PM ::1 GET /src/modules/insights/insights-engine.js
 HTTP  4/27/2026 9:43:25 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:25 PM ::1 GET /src/modules/observability/tracer.js
 HTTP  4/27/2026 9:43:25 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:25 PM ::1 GET /src/store/supabase-config.js
 HTTP  4/27/2026 9:43:25 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:26 PM ::1 GET /src/modules/identity/auth.js
 HTTP  4/27/2026 9:43:26 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:26 PM ::1 GET /src/store/remote-store.js
 HTTP  4/27/2026 9:43:26 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:48 PM ::1 GET /
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:48 PM ::1 GET /src/store/local-store.js
 HTTP  4/27/2026 9:43:48 PM ::1 GET /data.js
 HTTP  4/27/2026 9:43:48 PM ::1 GET /app.js
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:48 PM ::1 GET /tailwind-out.css
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:43:48 PM ::1 GET /styles.css
 HTTP  4/27/2026 9:43:48 PM ::1 GET /sw-cleanup.js
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:43:48 PM ::1 GET /src/modules/catalog/ingredients.js
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:48 PM ::1 GET /src/modules/recipes/recipes.js
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:48 PM ::1 GET /src/modules/log/day-log.js
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:48 PM ::1 GET /src/modules/log/gap-engine.js
 HTTP  4/27/2026 9:43:48 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:49 PM ::1 GET /src/modules/carryover/carryover-engine.js
 HTTP  4/27/2026 9:43:49 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:49 PM ::1 GET /src/modules/history/day-history.js
 HTTP  4/27/2026 9:43:49 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:49 PM ::1 GET /src/modules/insights/insights-engine.js
 HTTP  4/27/2026 9:43:49 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:49 PM ::1 GET /src/modules/observability/tracer.js
 HTTP  4/27/2026 9:43:49 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:49 PM ::1 GET /src/store/supabase-config.js
 HTTP  4/27/2026 9:43:49 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:50 PM ::1 GET /src/modules/identity/auth.js
 HTTP  4/27/2026 9:43:50 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:43:50 PM ::1 GET /src/store/remote-store.js
 HTTP  4/27/2026 9:43:50 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:12 PM ::1 GET /
 HTTP  4/27/2026 9:44:12 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:12 PM ::1 GET /src/store/local-store.js
 HTTP  4/27/2026 9:44:12 PM ::1 GET /data.js
 HTTP  4/27/2026 9:44:12 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:12 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:12 PM ::1 GET /app.js
 HTTP  4/27/2026 9:44:12 PM ::1 GET /tailwind-out.css
 HTTP  4/27/2026 9:44:12 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:12 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:44:12 PM ::1 GET /styles.css
 HTTP  4/27/2026 9:44:12 PM ::1 GET /sw-cleanup.js
 HTTP  4/27/2026 9:44:12 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:44:12 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:44:12 PM ::1 GET /src/modules/catalog/ingredients.js
 HTTP  4/27/2026 9:44:12 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:12 PM ::1 GET /src/modules/recipes/recipes.js
 HTTP  4/27/2026 9:44:12 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:13 PM ::1 GET /src/modules/log/day-log.js
 HTTP  4/27/2026 9:44:13 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:13 PM ::1 GET /src/modules/log/gap-engine.js
 HTTP  4/27/2026 9:44:13 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:13 PM ::1 GET /src/modules/carryover/carryover-engine.js
 HTTP  4/27/2026 9:44:13 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:13 PM ::1 GET /src/modules/history/day-history.js
 HTTP  4/27/2026 9:44:13 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:13 PM ::1 GET /src/modules/insights/insights-engine.js
 HTTP  4/27/2026 9:44:13 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:13 PM ::1 GET /src/modules/observability/tracer.js
 HTTP  4/27/2026 9:44:13 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:14 PM ::1 GET /src/store/supabase-config.js
 HTTP  4/27/2026 9:44:14 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:14 PM ::1 GET /src/modules/identity/auth.js
 HTTP  4/27/2026 9:44:14 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:14 PM ::1 GET /src/store/remote-store.js
 HTTP  4/27/2026 9:44:14 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:36 PM ::1 GET /
 HTTP  4/27/2026 9:44:36 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:44:36 PM ::1 GET /src/store/local-store.js
 HTTP  4/27/2026 9:44:36 PM ::1 GET /data.js
 HTTP  4/27/2026 9:44:36 PM ::1 GET /app.js
 HTTP  4/27/2026 9:44:36 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:36 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:44:36 PM ::1 GET /tailwind-out.css
 HTTP  4/27/2026 9:44:36 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:36 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:36 PM ::1 GET /styles.css
 HTTP  4/27/2026 9:44:36 PM ::1 GET /sw-cleanup.js
 HTTP  4/27/2026 9:44:36 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:44:36 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:44:37 PM ::1 GET /src/modules/catalog/ingredients.js
 HTTP  4/27/2026 9:44:37 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:44:37 PM ::1 GET /src/modules/recipes/recipes.js
 HTTP  4/27/2026 9:44:37 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:44:37 PM ::1 GET /src/modules/log/day-log.js
 HTTP  4/27/2026 9:44:37 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:37 PM ::1 GET /src/modules/log/gap-engine.js
 HTTP  4/27/2026 9:44:37 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:37 PM ::1 GET /src/modules/carryover/carryover-engine.js
 HTTP  4/27/2026 9:44:37 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:37 PM ::1 GET /src/modules/history/day-history.js
 HTTP  4/27/2026 9:44:37 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:38 PM ::1 GET /src/modules/insights/insights-engine.js
 HTTP  4/27/2026 9:44:38 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:38 PM ::1 GET /src/modules/observability/tracer.js
 HTTP  4/27/2026 9:44:38 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:38 PM ::1 GET /src/store/supabase-config.js
 HTTP  4/27/2026 9:44:38 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:39 PM ::1 GET /src/modules/identity/auth.js
 HTTP  4/27/2026 9:44:39 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:44:39 PM ::1 GET /src/store/remote-store.js
 HTTP  4/27/2026 9:44:39 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:00 PM ::1 GET /
 HTTP  4/27/2026 9:45:00 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:45:01 PM ::1 GET /src/store/local-store.js
 HTTP  4/27/2026 9:45:01 PM ::1 GET /data.js
 HTTP  4/27/2026 9:45:01 PM ::1 GET /app.js
 HTTP  4/27/2026 9:45:01 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:01 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:01 PM ::1 GET /tailwind-out.css
 HTTP  4/27/2026 9:45:01 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:01 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:45:01 PM ::1 GET /styles.css
 HTTP  4/27/2026 9:45:01 PM ::1 GET /sw-cleanup.js
 HTTP  4/27/2026 9:45:01 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:45:01 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:45:01 PM ::1 GET /src/modules/catalog/ingredients.js
 HTTP  4/27/2026 9:45:01 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:01 PM ::1 GET /src/modules/recipes/recipes.js
 HTTP  4/27/2026 9:45:01 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:01 PM ::1 GET /src/modules/log/day-log.js
 HTTP  4/27/2026 9:45:01 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:01 PM ::1 GET /src/modules/log/gap-engine.js
 HTTP  4/27/2026 9:45:01 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:02 PM ::1 GET /src/modules/carryover/carryover-engine.js
 HTTP  4/27/2026 9:45:02 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:02 PM ::1 GET /src/modules/history/day-history.js
 HTTP  4/27/2026 9:45:02 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:45:02 PM ::1 GET /src/modules/insights/insights-engine.js
 HTTP  4/27/2026 9:45:02 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:02 PM ::1 GET /src/modules/observability/tracer.js
 HTTP  4/27/2026 9:45:02 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:02 PM ::1 GET /src/store/supabase-config.js
 HTTP  4/27/2026 9:45:02 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:03 PM ::1 GET /src/modules/identity/auth.js
 HTTP  4/27/2026 9:45:03 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:45:03 PM ::1 GET /src/store/remote-store.js
 HTTP  4/27/2026 9:45:03 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:45:25 PM ::1 GET /
 HTTP  4/27/2026 9:45:25 PM ::1 Returned 200 in 1 ms
